annee;id_zone;id_quartier;nom_quartier;ref;max;min
2022;13;80;Charonne;19.2;23.04;13.44
2022;13;74;Pont-de-Flandre;20.7;24.84;14.49
2022;3;64;Chaillot;26.3;31.56;18.41
2022;4;17;Saint-Victor;26.3;31.56;18.41
2022;13;80;Charonne;18.8;22.56;13.16
2022;14;76;Combat;18.8;22.56;13.16
2022;11;43;Roquette;26.4;31.68;18.48
2022;11;48;Quinze-Vingts;19.5;23.4;13.65
2022;4;7;Mail;30.8;36.96;21.56
2022;2;29;Champs-Elysées;27.1;32.52;18.97
2022;11;39;Porte-Saint-Martin;22.4;26.88;15.68
2022;4;17;Saint-Victor;23.4;28.08;16.38
2022;4;11;Archives;23.5;28.2;16.45
2022;2;22;Odeon;25.4;30.48;17.78
2022;4;11;Archives;25.1;30.12;17.57
2022;4;6;Vivienne;23.1;27.72;16.17
2022;7;61;Auteuil;29.3;35.16;20.51
2022;2;21;Monnaie;29.0;34.8;20.3
2022;2;16;Notre-Dame;29.2;35.04;20.44
2022;2;22;Odeon;29.2;35.04;20.44
2022;6;66;Plaine de Monceaux;25.4;30.48;17.78
2022;2;22;Odeon;23.3;27.96;16.31
2022;5;35;Faubourg-Montmartre;29.0;34.8;20.3
2022;4;17;Saint-Victor;25.7;30.84;17.99
2022;14;45;Bel-Air;28.1;33.72;19.67
2022;4;10;Enfants-Rouges;24.8;29.76;17.36
2022;4;17;Saint-Victor;28.9;34.68;20.23
2022;2;30;Faubourg-du-Roule;33.4;40.08;23.38
2022;11;77;Belleville;26.3;31.56;18.41
2022;5;38;Porte-Saint-Denis;22.2;26.64;15.54
2022;2;31;Madeleine;29.0;34.8;20.3
2022;4;12;Sainte-Avoie;34.9;41.88;24.43
2022;5;2;Halles;23.6;28.32;16.52
2022;2;21;Monnaie;32.9;39.48;23.03
2022;11;54;Parc-de-Montsouris;23.6;28.32;16.52
2022;2;24;Saint-Germain-des-Prés;26.6;31.92;18.62
2022;9;70;Clignancourt;20.5;24.6;14.35
2022;2;34;Chaussée-d'Antin;31.2;37.44;21.84
2022;10;67;Batignolles;25.1;30.12;17.57
2022;1;23;Notre-Dame-des-Champs;24.4;29.28;17.08
2022;6;66;Plaine de Monceaux;25.4;30.48;17.78
2022;2;5;Gaillon;26.2;31.44;18.34
2022;2;31;Madeleine;26.3;31.56;18.41
2022;7;60;Javel 15Art;21.8;26.16;15.26
2022;11;41;Folie-Méricourt;27.8;33.36;19.46
2022;5;35;Faubourg-Montmartre;28.9;34.68;20.23
2022;5;53;Montparnasse;26.3;31.56;18.41
2022;4;7;Mail;23.5;28.2;16.45
2022;2;29;Champs-Elysées;37.6;45.12;26.32
2022;12;56;Plaisance;22.0;26.4;15.4
2022;9;46;Picpus;29.4;35.28;20.58
2022;5;52;Croulebarbe;23.2;27.84;16.24
2022;4;7;Mail;23.5;28.2;16.45
2022;9;70;Clignancourt;25.7;30.84;17.99
2022;13;80;Charonne;14.5;17.4;10.15
2022;3;62;Muette;29.1;34.92;20.37
2022;11;48;Quinze-Vingts;26.6;31.92;18.62
2022;4;20;Sorbonne;34.7;41.64;24.29
2022;2;3;Palais-Royal;29.0;34.8;20.3
2022;2;4;Place-Vendôme;35.7;42.84;24.99
2022;8;57;Saint-Lambert;25.8;30.96;18.06
2022;3;63;Porte-Dauphine;25.0;30.0;17.5
2022;1;25;Saint-Thomas-d'Aquin;33.4;40.08;23.38
2022;3;62;Muette;29.0;34.8;20.3
2022;4;11;Archives;23.5;28.2;16.45
2022;6;65;Ternes;30.3;36.36;21.21
2022;4;14;Saint-Gervais;26.0;31.2;18.2
2022;7;60;Javel 15Art;27.0;32.4;18.9
2022;11;40;Hôpital-Saint-Louis;19.4;23.28;13.58
2022;1;27;Ecole-Militaire;27.7;33.24;19.39
2022;11;43;Roquette;28.2;33.84;19.74
2022;11;68;Epinettes;19.4;23.28;13.58
2022;4;7;Mail;31.8;38.16;22.26
2022;11;68;Epinettes;25.4;30.48;17.78
2022;6;58;Necker;25.4;30.48;17.78
2022;4;10;Enfants-Rouges;28.3;33.96;19.81
2022;2;4;Place-Vendôme;26.3;31.56;18.41
2022;9;69;Grandes-Carrières;23.4;28.08;16.38
2022;11;43;Roquette;23.0;27.6;16.1
2022;13;78;Saint-Fargeau;21.2;25.44;14.84
2022;13;78;Saint-Fargeau;14.3;17.16;10.01
2022;10;67;Batignolles;24.4;29.28;17.08
2022;9;70;Clignancourt;27.6;33.12;19.32
2022;3;32;Europe;28.0;33.6;19.6
2022;14;76;Combat;17.6;21.12;12.32
2022;2;22;Odeon;26.3;31.56;18.41
2022;14;79;Père-Lachaise;19.8;23.76;13.86
2022;13;80;Charonne;14.3;17.16;10.01
2022;10;42;Saint-Ambroise;22.3;26.76;15.61
2022;5;37;Saint-Vincent-de-Paul;25.7;30.84;17.99
2022;2;29;Champs-Elysées;29.5;35.4;20.65
2022;2;1;St-Germain-l'Auxerrois;26.2;31.44;18.34
2022;4;10;Enfants-Rouges;34.7;41.64;24.29
2022;10;18;Jardin-des-Plantes;27.3;32.76;19.11
2022;11;68;Epinettes;23.4;28.08;16.38
2022;3;63;Porte-Dauphine;32.7;39.24;22.89
2022;13;75;Amérique;17.6;21.12;12.32
2022;11;48;Quinze-Vingts;21.6;25.92;15.12
2022;7;59;Grenelle;26.9;32.28;18.83
2022;1;26;Invalides;28.3;33.96;19.81
2022;2;24;Saint-Germain-des-Prés;26.2;31.44;18.34
2022;5;36;Rochechouart;28.3;33.96;19.81
2022;2;30;Faubourg-du-Roule;26.2;31.44;18.34
2022;13;75;Amérique;24.0;28.8;16.8
2022;4;20;Sorbonne;25.1;30.12;17.57
2022;13;75;Amérique;17.1;20.52;11.97
2022;14;79;Père-Lachaise;20.4;24.48;14.28
2022;2;29;Champs-Elysées;26.3;31.56;18.41
2022;9;70;Clignancourt;26.3;31.56;18.41
2022;5;33;Saint-Georges;23.0;27.6;16.1
2022;3;64;Chaillot;33.4;40.08;23.38
2022;5;52;Croulebarbe;25.0;30.0;17.5
2022;3;32;Europe;27.3;32.76;19.11
2022;1;26;Invalides;39.3;47.16;27.51
2022;2;5;Gaillon;31.7;38.04;22.19
2022;13;72;La Chapelle;22.8;27.36;15.96
2022;13;50;Gare;20.7;24.84;14.49
2022;5;35;Faubourg-Montmartre;25.0;30.0;17.5
2022;2;4;Place-Vendôme;22.6;27.12;15.82
2022;5;38;Porte-Saint-Denis;33.8;40.56;23.66
2022;6;66;Plaine de Monceaux;23.7;28.44;16.59
2022;5;36;Rochechouart;31.8;38.16;22.26
2022;2;15;Arsenal;30.5;36.6;21.35
2022;10;42;Saint-Ambroise;33.3;39.96;23.31
2022;6;58;Necker;30.3;36.36;21.21
2022;4;7;Mail;34.7;41.64;24.29
2022;6;66;Plaine de Monceaux;33.0;39.6;23.1
2022;13;74;Pont-de-Flandre;20.7;24.84;14.49
2022;6;66;Plaine de Monceaux;27.1;32.52;18.97
2022;4;6;Vivienne;27.9;33.48;19.53
2022;1;26;Invalides;33.0;39.6;23.1
2022;13;50;Gare;18.8;22.56;13.16
2022;13;75;Amérique;26.7;32.04;18.69
2022;7;60;Javel 15Art;22.1;26.52;15.47
2022;11;40;Hôpital-Saint-Louis;23.4;28.08;16.38
2022;9;46;Picpus;23.4;28.08;16.38
2022;5;36;Rochechouart;27.5;33.0;19.25
2022;13;75;Amérique;14.5;17.4;10.15
2022;10;55;Petit-Montrouge;23.0;27.6;16.1
2022;11;77;Belleville;21.6;25.92;15.12
2022;5;38;Porte-Saint-Denis;23.2;27.84;16.24
2022;12;51;Maison-Blanche;26.2;31.44;18.34
2022;10;67;Batignolles;22.3;26.76;15.61
2022;4;11;Archives;32.1;38.52;22.47
2022;10;44;Sainte-Marguerite;25.1;30.12;17.57
2022;11;40;Hôpital-Saint-Louis;20.4;24.48;14.28
2022;5;36;Rochechouart;30.0;36.0;21.0
2022;4;8;Bonne-Nouvelle;34.9;41.88;24.43
2022;9;69;Grandes-Carrières;24.6;29.52;17.22
2022;7;61;Auteuil;24.5;29.4;17.15
2022;11;41;Folie-Méricourt;24.3;29.16;17.01
2022;5;53;Montparnasse;23.9;28.68;16.73
2022;10;55;Petit-Montrouge;23.1;27.72;16.17
2022;6;65;Ternes;26.7;32.04;18.69
2022;6;65;Ternes;32.7;39.24;22.89
2022;7;61;Auteuil;26.7;32.04;18.69
2022;10;42;Saint-Ambroise;24.4;29.28;17.08
2022;13;73;Villette;20.7;24.84;14.49
2022;2;34;Chaussée-d'Antin;31.7;38.04;22.19
2022;13;75;Amérique;20.7;24.84;14.49
2022;2;22;Odeon;29.0;34.8;20.3
2022;11;54;Parc-de-Montsouris;24.3;29.16;17.01
2022;3;32;Europe;25.8;30.96;18.06
2022;9;69;Grandes-Carrières;20.3;24.36;14.21
2022;5;53;Montparnasse;25.1;30.12;17.57
2022;5;35;Faubourg-Montmartre;23.8;28.56;16.66
2022;5;2;Halles;21.8;26.16;15.26
2022;2;16;Notre-Dame;31.9;38.28;22.33
2022;13;73;Villette;20.7;24.84;14.49
2022;2;24;Saint-Germain-des-Prés;23.4;28.08;16.38
2022;2;34;Chaussée-d'Antin;29.5;35.4;20.65
2022;2;34;Chaussée-d'Antin;25.3;30.36;17.71
2022;13;74;Pont-de-Flandre;23.3;27.96;16.31
2022;8;57;Saint-Lambert;22.8;27.36;15.96
2022;4;9;Arts-et-Metiers;26.1;31.32;18.27
2022;1;28;Gros-Caillou;28.2;33.84;19.74
2022;1;27;Ecole-Militaire;29.7;35.64;20.79
2022;2;22;Odeon;29.9;35.88;20.93
2022;11;71;Goutte-d'Or;23.6;28.32;16.52
2022;9;46;Picpus;23.4;28.08;16.38
2022;13;78;Saint-Fargeau;20.7;24.84;14.49
2022;10;44;Sainte-Marguerite;29.6;35.52;20.72
2022;2;34;Chaussée-d'Antin;35.9;43.08;25.13
2022;13;50;Gare;24.4;29.28;17.08
2022;4;8;Bonne-Nouvelle;28.7;34.44;20.09
2022;2;29;Champs-Elysées;22.2;26.64;15.54
2022;13;74;Pont-de-Flandre;24.0;28.8;16.8
2022;14;79;Père-Lachaise;20.7;24.84;14.49
2022;14;79;Père-Lachaise;28.8;34.56;20.16
2022;10;49;Salpêtrière;29.2;35.04;20.44
2022;2;34;Chaussée-d'Antin;27.7;33.24;19.39
2022;1;23;Notre-Dame-des-Champs;32.5;39.0;22.75
2022;14;47;Bercy;25.6;30.72;17.92
2022;7;59;Grenelle;24.9;29.88;17.43
2022;3;64;Chaillot;28.5;34.2;19.95
2022;14;76;Combat;21.2;25.44;14.84
2022;1;25;Saint-Thomas-d'Aquin;28.8;34.56;20.16
2022;4;17;Saint-Victor;31.0;37.2;21.7
2022;4;7;Mail;27.8;33.36;19.46
2022;12;56;Plaisance;19.2;23.04;13.44
2022;2;4;Place-Vendôme;22.2;26.64;15.54
2022;4;7;Mail;28.7;34.44;20.09
2022;12;51;Maison-Blanche;29.5;35.4;20.65
2022;2;30;Faubourg-du-Roule;22.6;27.12;15.82
2022;1;26;Invalides;30.6;36.72;21.42
2022;8;57;Saint-Lambert;25.2;30.24;17.64
2022;6;66;Plaine de Monceaux;27.2;32.64;19.04
2022;2;22;Odeon;27.7;33.24;19.39
2022;2;4;Place-Vendôme;29.9;35.88;20.93
2022;1;26;Invalides;28.2;33.84;19.74
2022;1;25;Saint-Thomas-d'Aquin;29.7;35.64;20.79
2022;6;66;Plaine de Monceaux;30.7;36.84;21.49
2022;2;24;Saint-Germain-des-Prés;31.9;38.28;22.33
2022;12;56;Plaisance;22.6;27.12;15.82
2022;5;36;Rochechouart;29.5;35.4;20.65
2022;4;8;Bonne-Nouvelle;26.4;31.68;18.48
2022;6;65;Ternes;28.6;34.32;20.02
2022;2;13;Saint-Merri;28.5;34.2;19.95
2022;2;5;Gaillon;27.7;33.24;19.39
2022;11;40;Hôpital-Saint-Louis;21.6;25.92;15.12
2022;2;21;Monnaie;22.6;27.12;15.82
2022;3;32;Europe;29.1;34.92;20.37
2022;12;51;Maison-Blanche;28.8;34.56;20.16
2022;14;79;Père-Lachaise;23.5;28.2;16.45
2022;2;13;Saint-Merri;29.0;34.8;20.3
2022;2;31;Madeleine;23.4;28.08;16.38
2022;1;26;Invalides;31.2;37.44;21.84
2022;1;26;Invalides;31.8;38.16;22.26
2022;14;47;Bercy;20.7;24.84;14.49
2022;10;67;Batignolles;29.6;35.52;20.72
2022;2;1;St-Germain-l'Auxerrois;30.5;36.6;21.35
2022;2;31;Madeleine;25.8;30.96;18.06
2022;11;68;Epinettes;21.9;26.28;15.33
2022;5;33;Saint-Georges;26.8;32.16;18.76
2022;2;16;Notre-Dame;37.6;45.12;26.32
2022;11;43;Roquette;19.5;23.4;13.65
2022;1;28;Gros-Caillou;27.2;32.64;19.04
2022;6;58;Necker;25.4;30.48;17.78
2022;7;60;Javel 15Art;28.0;33.6;19.6
2022;5;53;Montparnasse;27.5;33.0;19.25
2022;9;69;Grandes-Carrières;25.7;30.84;17.99
2022;9;69;Grandes-Carrières;17.3;20.76;12.11
2022;6;58;Necker;28.6;34.32;20.02
2022;4;12;Sainte-Avoie;23.2;27.84;16.24
2022;10;49;Salpêtrière;28.5;34.2;19.95
2022;4;10;Enfants-Rouges;26.4;31.68;18.48
2022;2;21;Monnaie;30.4;36.48;21.28
2022;5;33;Saint-Georges;25.7;30.84;17.99
2022;13;72;La Chapelle;18.9;22.68;13.23
2022;13;80;Charonne;27.5;33.0;19.25
2022;14;45;Bel-Air;19.8;23.76;13.86
2022;2;4;Place-Vendôme;33.4;40.08;23.38
2022;13;50;Gare;20.3;24.36;14.21
2022;5;52;Croulebarbe;26.8;32.16;18.76
2022;4;10;Enfants-Rouges;26.3;31.56;18.41
2022;2;31;Madeleine;31.9;38.28;22.33
2022;3;62;Muette;29.4;35.28;20.58
2022;7;59;Grenelle;28.6;34.32;20.02
2022;5;37;Saint-Vincent-de-Paul;21.0;25.2;14.7
2022;2;29;Champs-Elysées;31.2;37.44;21.84
2022;4;6;Vivienne;26.3;31.56;18.41
2022;4;11;Archives;26.4;31.68;18.48
2022;5;33;Saint-Georges;27.5;33.0;19.25
2022;5;36;Rochechouart;28.9;34.68;20.23
2022;2;4;Place-Vendôme;23.3;27.96;16.31
2022;4;11;Archives;30.8;36.96;21.56
2022;2;31;Madeleine;29.9;35.88;20.93
2022;7;59;Grenelle;30.5;36.6;21.35
2022;1;28;Gros-Caillou;27.8;33.36;19.46
2022;5;53;Montparnasse;32.5;39.0;22.75
2022;2;16;Notre-Dame;29.0;34.8;20.3
2022;10;42;Saint-Ambroise;32.9;39.48;23.03
2022;3;63;Porte-Dauphine;29.1;34.92;20.37
2022;7;60;Javel 15Art;29.0;34.8;20.3
2022;2;1;St-Germain-l'Auxerrois;29.2;35.04;20.44
2022;9;70;Clignancourt;19.4;23.28;13.58
2022;6;65;Ternes;24.3;29.16;17.01
2022;1;27;Ecole-Militaire;31.3;37.56;21.91
2022;5;2;Halles;20.4;24.48;14.28
2022;3;64;Chaillot;29.1;34.92;20.37
2022;4;8;Bonne-Nouvelle;24.8;29.76;17.36
2022;5;53;Montparnasse;23.2;27.84;16.24
2022;5;38;Porte-Saint-Denis;21.0;25.2;14.7
2022;3;64;Chaillot;26.1;31.32;18.27
2022;5;35;Faubourg-Montmartre;28.3;33.96;19.81
2022;13;80;Charonne;16.1;19.32;11.27
2022;2;5;Gaillon;30.5;36.6;21.35
2022;11;39;Porte-Saint-Martin;21.9;26.28;15.33
2022;11;40;Hôpital-Saint-Louis;19.9;23.88;13.93
2022;11;40;Hôpital-Saint-Louis;26.3;31.56;18.41
2022;9;70;Clignancourt;20.3;24.36;14.21
2022;11;48;Quinze-Vingts;25.4;30.48;17.78
2022;4;8;Bonne-Nouvelle;28.9;34.68;20.23
2022;11;77;Belleville;19.4;23.28;13.58
2022;4;7;Mail;31.0;37.2;21.7
2022;2;21;Monnaie;29.9;35.88;20.93
2022;13;80;Charonne;22.8;27.36;15.96
2022;2;30;Faubourg-du-Roule;25.3;30.36;17.71
2022;5;33;Saint-Georges;21.0;25.2;14.7
2022;5;35;Faubourg-Montmartre;29.5;35.4;20.65
2022;14;47;Bercy;20.1;24.12;14.07
2022;11;68;Epinettes;28.8;34.56;20.16
2022;2;5;Gaillon;26.2;31.44;18.34
2022;10;42;Saint-Ambroise;22.3;26.76;15.61
2022;12;56;Plaisance;25.3;30.36;17.71
2022;3;62;Muette;27.3;32.76;19.11
2022;12;51;Maison-Blanche;34.1;40.92;23.87
2022;9;69;Grandes-Carrières;18.0;21.6;12.6
2022;9;70;Clignancourt;23.4;28.08;16.38
2022;11;39;Porte-Saint-Martin;28.2;33.84;19.74
2022;14;76;Combat;23.5;28.2;16.45
2022;4;9;Arts-et-Metiers;25.7;30.84;17.99
2022;9;70;Clignancourt;22.8;27.36;15.96
2022;10;55;Petit-Montrouge;28.1;33.72;19.67
2022;2;34;Chaussée-d'Antin;26.2;31.44;18.34
2022;5;35;Faubourg-Montmartre;30.9;37.08;21.63
2022;2;15;Arsenal;23.3;27.96;16.31
2022;11;43;Roquette;24.7;29.64;17.29
2022;3;32;Europe;29.6;35.52;20.72
2022;2;30;Faubourg-du-Roule;31.9;38.28;22.33
